Date,SBL,SBL_S,Price
8月9日,13011,9942,191
8月10日,13162,9958,188
8月11日,13162,10007,186
8月12日,12948,10061,193
8月13日,12941,9948,195
8月16日,13325,9948,190
8月17日,13750,10104,190
8月18日,13746,10273,189
8月19日,13923,10308,185
8月20日,13834,10294,183.5
8月23日,13759,10371,183
8月24日,14611,10613,182
8月25日,14369,10646,180.5
8月26日,14174,10669,198.5
8月27日,14418,10698,195.5
8月30日,14217,10728,191
8月31日,13876,10747,193
9月1日,13996,10763,193
9月2日,13885,10825,191
9月3日,13877,10895,191.5
9月6日,14049,11038,195
9月7日,14327,11181,195
9月8日,14371,11154,190.5
9月9日,14616,11506,191
9月10日,14710,11561,190
9月13日,14888,11910,189.5
9月14日,14924,11858,186
9月15日,15459,12088,185
9月16日,15866,12296,183.5
9月17日,16238,12742,183
9月22日,16664,13232,184.5
9月23日,16913,13630,192.5
9月24日,16813,13667,191
9月27日,16850,13769,190
9月28日,17432,13937,189.5
9月29日,17721,13937,185
9月30日,18203,14274,185
10月1日,17981,14312,183
10月4日,18523,14326,177
10月5日,18476,14326,172
10月6日,18950,14379,166
10月7日,18449,14778,167.5
10月8日,18726,15194,168.5
10月12日,19365,15676,180.5
10月13日,19345,15826,179.5
10月14日,21294,15963,197
10月15日,20064,15988,214.5
10月18日,18951,15019,233
10月19日,18285,14295,239
10月20日,17406,14014,255
10月21日,17142,13763,255
10月22日,16723,13427,254.5
10月25日,15777,12848,266
10月26日,15617,12551,262
10月27日,14027,12473,245
10月28日,14068,12240,269.5
10月29日,13885,12243,262
11月1日,13075,11588,262
11月2日,10170,10153,277.5
11月3日,9915,9898,250
11月4日,10073,9905,243
11月5日,10255,9018,241
11月8日,9836,8877,244.5
11月9日,9757,8798,254
11月10日,9745,8791,250
11月11日,9470,8456,245.5
11月12日,9549,8482,256.5
11月15日,9555,8577,256
11月16日,9256,8219,252
11月17日,9423,8307,257
11月18日,10232,8385,282.5
11月19日,9585,8462,283
11月22日,9658,8535,299.5
11月23日,9470,8421,297
11月24日,9444,8403,326.5
11月25日,9361,8327,298
11月26日,8928,7909,306
11月29日,9962,7851,275.5
11月30日,10330,7711,297.5
12月1日,10289,7674,289
12月2日,10141,7558,289.5
12月3日,9958,7379,291
12月6日,9825,7314,296.5
12月7日,9595,7229,295
12月8日,9615,7249,300.5
12月9日,9221,6941,297.5
12月10日,9229,6949,302
12月13日,9087,6980,301.5
12月14日,8944,6837,285
12月15日,9262,7155,288.5
12月16日,9237,7130,288.5
12月17日,9407,7079,291.5
12月20日,9377,7049,284
12月21日,8390,6140,287
12月22日,8254,6143,285
12月23日,8270,6164,291
12月24日,8067,5914,287
12月27日,7906,5762,280.5
12月28日,7802,5666,287.5
12月29日,7717,5626,287
12月30日,7704,5630,287.5
1月3日,7691,5617,278
1月4日,7728,5598,277
1月5日,7721,5590,275.5
1月6日,7766,5534,267
1月7日,7864,5594,265
1月10日,7705,5587,265
1月11日,7605,5466,258.5
1月12日,7446,5339,253.5
1月13日,7332,5201,255
1月14日,7192,5062,243.5
1月17日,7040,4949,251.5
1月18日,6909,4774,248
1月19日,7043,4706,246
1月20日,7167,4907,245.5
1月21日,7400,4950,245.5
1月24日,7370,4918,237
1月25日,7341,4889,229.5
1月26日,7242,5149,239
2月7日,7725,5133,246
2月8日,7488,5219,258
2月9日,7381,5208,255
2月10日,7355,5246,251
2月11日,7428,5307,245.5
2月14日,7589,5461,243
2月15日,7707,5591,242.5
2月16日,7893,5786,259
2月17日,7826,5718,255.5
2月18日,7932,5719,259
2月21日,7955,5737,259.5
2月22日,7993,5774,253.5
2月23日,8099,5845,258
2月24日,8011,5765,241.5
2月25日,9024,5944,247.5
3月1日,9011,5934,251.5
3月2日,8902,5887,252.5
3月3日,8706,5782,247
3月4日,8630,5626,241
3月7日,8575,5606,224.5
3月8日,8740,5683,214.5
3月9日,8793,5726,212
3月10日,10283,5949,216
3月11日,8577,5689,211
3月14日,8860,5710,209.5
3月15日,8963,5705,200.5
3月16日,9227,5954,200.5
3月17日,9123,6203,220.5
3月18日,9992,6811,228.5
3月21日,9825,6986,226.5
3月22日,9929,7316,229.5
3月23日,9987,7270,227
3月24日,9859,7251,226
3月25日,9922,7473,223
3月28日,10217,7981,223
3月29日,10503,8255,233.5
3月30日,10529,8264,228
3月31日,11395,8180,214.5
4月1日,11824,8223,211
4月6日,13748,8184,210
4月7日,12778,8851,208.5
4月8日,13223,9169,207
4月11日,15062,9222,201
4月12日,15542,9878,200.5
4月13日,16810,10577,201
4月14日,18077,11130,200.5
4月15日,18639,11282,198.5
4月18日,19172,11613,198.5
4月19日,20182,11876,197.5
4月20日,20081,12102,197
4月21日,20510,12851,216.5
4月22日,21042,13250,207.5
4月25日,21508,13421,199
4月26日,21946,13610,196.5
4月27日,22102,13610,196
4月28日,22663,13782,196
4月29日,22903,14220,194.5
5月3日,22539,14618,200.5
5月4日,22875,14906,201.5
5月5日,22798,14932,199
5月6日,22896,14932,195.5
5月9日,22755,14932,190
5月10日,23244,14932,186
5月11日,23168,15274,187
5月12日,23233,15707,187
5月13日,23768,15990,185
5月16日,23142,16164,184.5
5月17日,23490,16169,180
5月18日,23675,16839,181.5
5月19日,23807,16835,177.5
5月20日,23713,17443,180.5
5月23日,23516,18024,180
5月24日,23569,18112,176.5
5月25日,23813,18822,177.5
