Date,SBL,SBL_S,Price
1/3,13322,12491,62.1
1/4,13234,12390,61.5
1/5,14038,12732,61.3
1/6,14382,13567,61.7
1/9,14381,13665,63
1/10,14512,13535,61.9
1/11,14458,13750,62.5
1/12,14520,13566,59.8
1/13,14378,13584,60.3
1/16,14396,13610,62.5
1/17,14495,13714,62.5
1/30,14469,13688,63.3
1/31,14545,13765,66.3
2/1,14334,13560,65.2
2/2,13770,13001,66
2/3,13396,12629,65.7
2/6,13525,12364,66.5
2/7,12952,12242,67.8
2/8,13184,12376,68.6
2/9,13522,12719,66.7
2/10,13382,12577,67.4
2/13,13369,12569,66.5
2/14,13482,12690,65.7
2/15,13530,12738,65.9
2/16,13730,12937,67.1
2/17,13761,13018,66.9
2/20,13714,12717,67
2/21,13805,12831,66.5
2/22,14481,13329,65.5
2/23,14693,13620,66
2/24,15324,14301,64.8
3/1,15261,14174,65
3/2,15502,14232,66.7
3/3,15374,14117,66.1
3/6,15392,14260,66
3/7,16121,15069,65.3
3/8,16067,14993,65.1
3/9,16142,14939,65.6
3/10,17279,16038,63.7
3/13,17271,16127,63
3/14,17628,16218,62.3
3/15,17785,16288,63
3/16,18482,17124,61.6
3/17,18416,17020,62.5
3/20,18433,17059,63
3/21,18443,17066,63.5
3/22,18694,17038,63.9
3/23,18712,17132,64.3
3/24,18281,16914,66.1
3/27,17695,16356,66.4
3/28,16864,15532,65.3
3/29,15899,14609,67
3/30,15660,14413,67.2
3/31,15103,13887,66.6
4/6,14481,13626,67.5
4/7,13573,12718,67.7
4/10,12730,11889,65.5
4/11,12562,11561,66
4/12,11899,10911,67.2
4/13,10858,10030,68
4/14,10787,9940,66.7
4/17,11393,10098,66.5
4/18,12008,10606,66.6
4/19,11411,10349,67.1
4/20,11313,10352,65.3
4/21,11005,10538,63.4
4/24,11155,10614,63.4
4/25,11691,11087,61.5
4/26,11983,11208,61.2
4/27,12441,11663,61.5
4/28,12922,12078,62.7
5/2,13000,12120,63.7
5/3,13048,12168,63.1
5/4,13056,12183,63.4
5/5,13106,12244,62.5
5/8,14090,12317,61.9
5/9,14022,13205,61.5
5/10,13602,12800,61.8
5/11,13190,12250,60.8
5/12,13655,12748,59.8
5/15,14085,12996,60
5/16,14199,13060,60.8
5/17,14490,13219,60.3
5/18,14799,13720,59.5
5/19,15001,13988,59.2
5/22,15816,14424,59.4
5/23,15823,14557,59.9
5/24,16264,15127,59.2
5/25,16614,15602,58.4
5/26,16405,15806,57.5
5/29,16525,15925,58.1
5/30,16593,16041,57.8
5/31,16483,16104,59.1
6/1,16491,16136,59.1
6/2,17199,16748,60.1
6/5,17088,16786,59.8
6/6,17025,16825,60.4
6/7,17100,16850,60.4
6/8,17021,16773,59.5
6/9,16951,16709,60.7
6/12,16802,16569,60.8
6/13,16539,16367,61.2
6/14,16541,16361,61.4
6/15,16441,16277,61.3
6/16,16057,15903,57.5
6/19,15813,15666,57.2
6/20,15610,15455,57.4
6/21,15766,15499,56.4
6/26,16610,15609,57.5
6/27,17110,16050,58.8
6/28,17123,16064,58.3
6/29,17022,15963,59.3
6/30,17520,16312,57.8
7/3,17563,16356,57.1
7/4,17684,16428,56.8
7/5,17646,16397,57
7/6,17745,16515,56.3
7/7,17629,16364,56.5
7/10,17644,16380,57
7/11,17212,16189,56.5
7/12,17548,16517,55.5
7/13,18128,17071,53.8
7/14,18337,17326,54.1
7/17,18356,17481,57.2
7/18,18364,17632,55.6
7/19,18434,17738,55.8
7/20,18526,17859,55.6
7/21,18513,17805,54.5
7/24,18427,17762,54.1
7/25,18660,17960,54.3
7/26,19138,18318,53.4
7/27,19096,18256,53.5
7/28,19267,18506,53.1
7/31,20347,18656,52.6
8/1,20462,18585,52.6
8/2,20607,18791,51.5
8/4,20844,18865,52.7
8/7,22492,19093,51.7
8/8,21914,19169,51
8/9,21802,19014,50.9
8/10,21324,19150,50.7
8/11,21935,19317,50.6
8/14,22037,19576,47.3
8/15,21984,19611,48.95
8/16,21811,19508,49.5
8/17,21456,19172,49.15
8/18,21039,18776,48.5
8/21,20950,18699,48.9
8/22,20869,18632,48.15
8/23,20458,18288,47.9
8/24,20749,18332,47.8
8/25,20617,18265,48.15
8/28,20632,18280,48.1
8/29,20480,18158,49.6
8/30,20616,18295,51.1
8/31,20878,18475,51.1
9/1,20794,18486,50.7
9/4,20823,18515,50.7
9/5,20693,18385,49.4
9/6,20583,18270,48.9
9/7,20455,18150,48.9
9/8,20273,17969,49.1
9/11,20110,17806,49.45
9/12,20094,17852,50.1
9/13,20047,17737,50.5
9/14,19828,17611,51.3
9/15,19840,17631,51.7
9/18,19546,17382,51.9
9/19,19475,17320,50.3
9/20,19396,17241,49.8
9/21,19386,17231,49.15
9/22,19214,17060,49.1
9/25,19214,17131,49.35
9/26,19150,17068,48.25
9/27,19179,17079,48.7
9/28,19174,17075,48.3
10/2,19196,17135,48.5
10/3,19148,17096,48.05
10/4,19192,17128,48
10/5,19068,17040,48.9
10/6,18852,16934,49.05
10/11,18930,16995,48.9
10/12,18516,16604,48.75
10/13,18443,16538,48.25
10/16,18447,16542,49.6
10/17,18466,16562,48.6
10/18,18565,16351,47.9
10/19,18830,16608,51.5
10/20,18643,16746,49.9
10/23,18783,16886,51.7
10/24,18811,16898,52.7
10/25,18979,17048,52.5
10/26,19067,17156,51.9
10/27,19708,17323,53.8
10/30,20015,17875,52.4
10/31,20149,18190,51.3
11/1,20108,18188,50.8
11/2,19566,17676,50.6
11/3,19586,17709,50.1
11/6,19779,17911,50.6
11/7,20467,18622,55.6
11/8,21011,19195,57.2
11/9,22171,20378,56.1
11/10,23544,21677,56.6
11/13,25421,23227,55.2
11/14,28542,25214,52.6
11/15,28200,26351,52.6
11/16,30271,27480,52.1
11/17,29919,27948,51.4
11/20,29985,28109,51.7
11/21,30400,28244,52
11/22,31880,28829,51.6
11/23,31691,28785,52.5
11/24,30348,28525,52.5
11/27,30796,28698,52.5
11/28,30595,28539,52
11/29,30134,28078,52.5
11/30,30202,28111,52.4
12/1,30042,28007,52.3
12/4,30135,28183,52.2
12/5,30221,28271,50.9
12/6,30636,28291,50.6
12/7,30450,28405,50.6
12/8,30147,28160,50.4
12/11,30189,28167,50.1
12/12,30196,28185,50.3
12/13,30177,28179,50.1
12/14,30215,28221,50.2
12/15,29924,27934,50.6
12/18,29889,27934,50.1
12/19,30134,28269,49.5
12/20,30094,28216,49.6
12/21,29898,28032,49.75
12/22,29792,27945,50.4
12/25,29910,28063,49.85
12/26,29869,28022,50.8
12/27,29943,28098,50.7
12/28,29679,27834,50.3
12/29,29505,27660,50.5
1/2,29209,27364,50.2
1/3,29202,27357,50.6
1/4,28794,26949,49.5
1/5,28739,26894,50
1/8,28624,26779,49.3
1/9,28416,26571,48.65
1/10,28245,26400,48.9
1/11,28094,26249,48.8
1/12,28019,26151,48.5
1/15,27973,26067,49
1/16,27526,25658,48
1/17,27408,25542,46.95
1/18,27344,25480,46.85
1/19,27192,25334,47.1
1/22,27169,25314,48.4
1/23,27025,25169,48.3
1/24,26906,24848,48
1/25,26612,24564,47.6
1/26,26378,24330,48.4
1/29,26277,24242,47.65
1/30,26387,24324,46.6
1/31,26395,24334,46.45
2/1,26374,24330,46.05
2/2,26171,24144,46.5
2/5,26298,24291,45.9
2/15,26351,24373,45.35
2/16,26112,24142,46.9
2/19,26171,24236,47.05
2/20,25454,23601,46.8
2/21,25377,23542,47.1
2/22,25374,23558,46.55
2/23,25255,23453,46.45
2/26,25192,23413,47.1
2/27,25199,23420,46.25
2/29,24947,23172,46.45
3/1,24888,23170,45.75
3/4,25011,23293,45.1
3/5,25081,23363,44.9
3/6,25191,23461,44.5
3/7,25317,23589,48.85
3/8,25615,23900,45.5
3/11,25737,24074,45.2
3/12,25908,24306,45
3/13,26225,24667,44.25
3/14,26259,24746,44.45
3/15,26387,24861,43.9
3/18,26321,24811,43.25
3/19,26616,24908,43.05
3/20,26537,24799,43.4
3/21,26573,24858,44.1
3/22,26361,24864,44.45
3/25,26241,24748,44.8
3/26,26098,24629,44.2
3/27,26012,24564,44.8
3/28,25783,24344,44.55
3/29,25537,24100,44.7
4/1,25474,24009,44.75
4/2,25410,23945,44.7
4/3,25416,23951,44.8
4/8,25405,23940,45.1
4/9,25393,23928,44.8
4/10,25227,23762,45.35
4/11,25208,23735,45.3
4/12,25124,23659,44.85
4/15,25089,23624,43.65
4/16,25176,23689,41.65
4/17,25212,23721,41.5
4/18,25241,23754,41.85
4/19,25178,23685,39.6
4/22,25175,23682,40.3
4/23,25168,23674,41.6
4/24,24692,23198,41.1
4/25,24150,22656,40.75
4/26,24088,22511,40.8
4/29,23900,22388,41.95
4/30,23575,22069,41.8
5/2,23082,21538,42.2
5/3,22935,21391,42.4
5/6,22789,21234,42.15
5/7,22675,21120,41.35
5/8,22596,21025,41.4
5/9,22546,20975,40.8
5/10,22409,20839,41.4
5/13,22412,20865,40.9
5/14,22280,20734,41.6
5/15,22075,20530,41.6
5/16,21880,20339,43
5/17,21785,20244,42.55
5/20,21786,20057,42.25
5/21,21398,19896,41.9
5/22,21188,19686,41.2
5/23,21366,19849,40.6
5/24,21483,19976,40
5/27,21427,19925,40.1
5/28,21308,19799,40.35
5/29,21075,19566,40
5/30,20958,19456,39.6
5/31,21005,19503,40.6
6/3,20999,19497,40.15
6/4,20916,19414,40.2
6/5,20997,19507,41.5
6/6,21391,19874,40.05
6/7,21300,19806,40.25
6/11,21158,19665,40.25
6/12,21518,20028,40.3
6/13,21446,19959,39.85
6/14,21594,20031,39.75
6/17,21615,20052,40.05
6/18,21669,20180,39.9
6/19,21629,20095,39.6
6/20,21604,20070,40.2
6/21,21525,20033,40.2
6/24,21520,20028,40.05
